Component,Reference ID,Countermeasure,Description,Source,State,Test result,Priority,Expiry date,Cost,Owner,Issue ID,MITRE reference,Scope,Standard baseline,Standard baseline section
Kubernetes Cluster,C-KUBERNETES-CLUSTER-CNT-21,Apply security context to your pods and containers,"CIS Benchmark Recommendation id: 5.7.3

Profile Applicability: Level 2 - Master Node

Description: Apply Security Context to Your Pods and Containers

Rationale: A security context defines the operating system security 
settings (uid, gid, capabilities, SELinux role, etc..) applied to a 
container. When designing your containers and pods, make sure that you 
configure the security context for your pods, containers, and volumes. A 
security context is a property defined in the deployment yaml. It controls 
the security parameters that will be assigned to the pod/container/volume. 
There are two levels of security context: pod level security context, and 
container level security context.

Impact: If you incorrectly apply security contexts, you may have trouble 
running the pods.

Audit: Review the pod definitions in your cluster and verify that you have 
security contexts defined as appropriate.

Remediation: Follow the Kubernetes documentation and apply security 
contexts to your pods. For a suggested list of security contexts, you may 
refer to the CIS Security Benchmark for Docker Containers.

Default Value: By default, no security contexts are automatically applied 
to pods.

References:

   1. <https://kubernetes.io/docs/concepts/policy/security-context/>
   2. <https://learn.cisecurity.org/benchmarks>",Created by Rules Engine,Recommended,Not tested,High,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1050 - Exploit Protection,Application Security,NIST 800-53 v5,AC-4 Information Flow Enforcement
Kubernetes Cluster,C-KUBERNETES-CLUSTER-CNT-08,Avoid use of system:masters group,"CIS Benchmark Recommendation id: 5.1.7
Profile Applicability: Level 1 - Master Node

Description: The special group system:masters should not be used to grant 
permissions to any user or service account, except where strictly necessary 
(e.g. bootstrapping access prior to RBAC being fully available)
Rationale: The system:masters group has unrestricted access to the 
Kubernetes API hard-coded into the API server source code. An authenticated 
user who is a member of this group cannot have their access reduced, even 
if all bindings and cluster role bindings which mention it, are removed. 
When combined with client certificate authentication, use of this group can 
allow for irrevocable cluster-admin level credentials to exist for a 
cluster.
Impact: Once the RBAC system is operational in a cluster, system:masters 
should not be specifically required, as ordinary bindings from principals 
to the cluster-admin cluster role can be made where unrestricted access is 
required.
Audit: Review a list of all credentials which have access to the cluster 
and ensure that the group system:masters is not used.
Remediation: Remove the system:masters group from all users in the cluster.
Default Value: By default some clusters will create a ""break glass"" client 
certificate which is a member of this group. Access to this client 
certificate should be carefully controlled and it should not be used for 
general cluster operations.
References:

   1. 
      <https://github.com/kubernetes/kubernetes/blob/master/pkg/registry/rbac/escalation_check.go#L38>",Created by Rules Engine,Recommended,Not tested,High,N/A,High,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1036 - Account Use Policies,Application Security,NIST 800-53 v5,AC-6 LEAST PRIVILEGE
Backend,C-WEB-APPLICATION-SERVER-SIDE-CNT-11,Block or validate all outbound requests,"To reduce the risk of data exfiltration or unauthorized system 
communication, block or carefully validate all outbound requests made by 
the application. Ensure that only requests to specific, trusted domains and 
IP addresses are allowed, and that any outbound request to unapproved 
destinations is blocked or flagged for further review. This control 
prevents the application from communicating with malicious external systems 
and protects sensitive data from being leaked.

Implementation Steps:

   1. Implement Outbound Request Filtering: Use a web application firewall
      (WAF) or proxy to block or monitor any outbound requests that are not
      to trusted domains or IP addresses.
   2. Validate Outbound Requests: Before allowing outbound communication,
      validate the destination domain and IP address to ensure they are
      within an approved list of resources necessary for the application.
   3. Set Domain and IP Allowlists: Define an allowlist of specific domains
      and IP addresses that the application is authorized to interact with,
      and block all other outbound traffic.
   4. Monitor and Log Outbound Requests: Continuously monitor and log all
      outbound requests for suspicious activity or attempts to communicate
      with unapproved destinations.
   5. Review and Update Allowlist Regularly: Periodically review the
      allowlist to ensure that it remains up-to-date with the application's
      legitimate requirements.

References:

    * Security and Privacy Controls for Information Systems and
      Organizations <https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final>",Created by Rules Engine,Recommended,Not tested,Low,N/A,High,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1031 - Network Intrusion Prevention,Network Security,NIST 800-53 v5,SC-7 Boundary Protection
Fronend,C-WEB-APPLICATION-SERVER-SIDE-CNT-11,Block or validate all outbound requests,"To reduce the risk of data exfiltration or unauthorized system 
communication, block or carefully validate all outbound requests made by 
the application. Ensure that only requests to specific, trusted domains and 
IP addresses are allowed, and that any outbound request to unapproved 
destinations is blocked or flagged for further review. This control 
prevents the application from communicating with malicious external systems 
and protects sensitive data from being leaked.

Implementation Steps:

   1. Implement Outbound Request Filtering: Use a web application firewall
      (WAF) or proxy to block or monitor any outbound requests that are not
      to trusted domains or IP addresses.
   2. Validate Outbound Requests: Before allowing outbound communication,
      validate the destination domain and IP address to ensure they are
      within an approved list of resources necessary for the application.
   3. Set Domain and IP Allowlists: Define an allowlist of specific domains
      and IP addresses that the application is authorized to interact with,
      and block all other outbound traffic.
   4. Monitor and Log Outbound Requests: Continuously monitor and log all
      outbound requests for suspicious activity or attempts to communicate
      with unapproved destinations.
   5. Review and Update Allowlist Regularly: Periodically review the
      allowlist to ensure that it remains up-to-date with the application's
      legitimate requirements.

References:

    * Security and Privacy Controls for Information Systems and
      Organizations <https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final>",Created by Rules Engine,Recommended,Not tested,Low,N/A,High,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1031 - Network Intrusion Prevention,Network Security,NIST 800-53 v5,SC-7 Boundary Protection
Kubernetes Cluster,C-KUBERNETES-CLUSTER-CNT-03,Bootstrap token authentication should not be used for users,"CIS Benchmark Recommendation id: 3.1.3

Profile Applicability: Level 1 - Master Node

Description: Kubernetes provides bootstrap tokens which are intended for 
use by new nodes joining the cluster. These tokens are not designed for use 
by end-users; they are specifically designed for the purpose of 
bootstrapping new nodes and not for general authentication.

Rationale: Bootstrap tokens are not intended for use as a general 
authentication mechanism and impose constraints on user and group naming 
that do not facilitate good RBAC design. They also cannot be used with MFA 
resulting in a weak authentication mechanism being available.

Impact: External mechanisms for authentication generally require additional 
software to be deployed.

Audit: Review user access to the cluster and ensure that users are not 
making use of bootstrap token authentication.

Remediation: Alternative mechanisms provided by Kubernetes such as the use 
of OIDC should be implemented in place of bootstrap tokens.

Default Value: Bootstrap token authentication is not enabled by default and 
requires an API server parameter to be set.

References: N/A",Created by Rules Engine,Recommended,Not tested,Medium,N/A,High,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1021 - Restrict Web-Based Content,Application Security,NIST 800-53 v5,AC-21 Information Sharing
Backend,C-WEB-APPLICATION-SERVER-SIDE-CNT-09,Capture and monitor detailed logs for critical actions,"To ensure comprehensive visibility into system activities, capture detailed 
logs for all critical actions within the web application. These logs should 
include data such as user actions, system changes, and access to sensitive 
resources. Additionally, proactively monitor these logs to detect 
suspicious behavior, unauthorized access, or anomalous activity, enabling 
timely detection of security incidents and faster response to potential 
threats.

Implementation Steps:

   1. Enable Logging for Critical Actions: Ensure that all key actions
      (e.g., login attempts, data access, configuration changes) are logged
      in detail, including relevant metadata such as timestamps, user
      identifiers, and source IP addresses.
   2. Use Centralized Logging: Store logs in a centralized location for
      easier access and analysis. Integrate with a log management or SIEM
      system for real-time monitoring.
   3. Set Up Automated Alerts: Configure automated alerts for suspicious or
      unauthorized actions, such as failed login attempts, unexpected
      configuration changes, or access to sensitive data by unauthorized
      users.
   4. Regularly Review Logs: Conduct regular log reviews and audits to
      ensure that logging mechanisms are functioning correctly and that
      logs provide the necessary level of detail to identify security
      incidents.

References:

    * OWASP Logging Best Practices
      <https://cheatsheetseries.owasp.org/cheatsheets/Logging_Cheat_Sheet.html>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,High,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1047 - Audit,Operational Security,NIST 800-53 v5,AU-12 Audit Record Generation
Fronend,C-WEB-APPLICATION-SERVER-SIDE-CNT-09,Capture and monitor detailed logs for critical actions,"To ensure comprehensive visibility into system activities, capture detailed 
logs for all critical actions within the web application. These logs should 
include data such as user actions, system changes, and access to sensitive 
resources. Additionally, proactively monitor these logs to detect 
suspicious behavior, unauthorized access, or anomalous activity, enabling 
timely detection of security incidents and faster response to potential 
threats.

Implementation Steps:

   1. Enable Logging for Critical Actions: Ensure that all key actions
      (e.g., login attempts, data access, configuration changes) are logged
      in detail, including relevant metadata such as timestamps, user
      identifiers, and source IP addresses.
   2. Use Centralized Logging: Store logs in a centralized location for
      easier access and analysis. Integrate with a log management or SIEM
      system for real-time monitoring.
   3. Set Up Automated Alerts: Configure automated alerts for suspicious or
      unauthorized actions, such as failed login attempts, unexpected
      configuration changes, or access to sensitive data by unauthorized
      users.
   4. Regularly Review Logs: Conduct regular log reviews and audits to
      ensure that logging mechanisms are functioning correctly and that
      logs provide the necessary level of detail to identify security
      incidents.

References:

    * OWASP Logging Best Practices
      <https://cheatsheetseries.owasp.org/cheatsheets/Logging_Cheat_Sheet.html>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,High,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1047 - Audit,Operational Security,NIST 800-53 v5,AU-12 Audit Record Generation
Backend,C-WEB-APPLICATION-SERVER-SIDE-CNT-03,Check user roles and permissions on every request,"To ensure secure access control, check the user's roles and permissions on 
every request for protected resources or functions. This prevents 
unauthorized access by verifying that the user has the correct privileges 
to perform the requested action, helping to enforce the principle of least 
privilege across the application. This should be done dynamically on each 
request to minimize the risk of privilege escalation or unauthorized 
resource access.

Implementation Steps:

   1. Role-Based Access Control (RBAC): Implement RBAC to define user roles
      and assign permissions based on the user’s role. Ensure that only
      authorized roles can access specific resources or functions.
   2. Permission Validation: For every incoming request, validate that the
      user’s assigned roles have the necessary permissions to access or
      modify the requested resource or function.
   3. Enforce Fine-Grained Access Control: Implement fine-grained
      permission checks for sensitive actions and resources, ensuring that
      access is granted based on the exact permissions needed.
   4. Session Management: Use session or token-based management to persist
      user identity and permissions, and ensure that permissions are
      checked against current session data on each request.
   5. Audit Logs: Record and review access attempts, especially for
      sensitive resources, to detect potential unauthorized access or
      misuse of roles and permissions.

References:

    * OWASP Access Control Cheat Sheet
      <https://cheatsheetseries.owasp.org/cheatsheets/Authorization_Cheat_Sheet.html>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1015 - Active Directory Configuration,Application Security,NIST 800-53 v5,PM-10 Authorization Process
Fronend,C-WEB-APPLICATION-SERVER-SIDE-CNT-03,Check user roles and permissions on every request,"To ensure secure access control, check the user's roles and permissions on 
every request for protected resources or functions. This prevents 
unauthorized access by verifying that the user has the correct privileges 
to perform the requested action, helping to enforce the principle of least 
privilege across the application. This should be done dynamically on each 
request to minimize the risk of privilege escalation or unauthorized 
resource access.

Implementation Steps:

   1. Role-Based Access Control (RBAC): Implement RBAC to define user roles
      and assign permissions based on the user’s role. Ensure that only
      authorized roles can access specific resources or functions.
   2. Permission Validation: For every incoming request, validate that the
      user’s assigned roles have the necessary permissions to access or
      modify the requested resource or function.
   3. Enforce Fine-Grained Access Control: Implement fine-grained
      permission checks for sensitive actions and resources, ensuring that
      access is granted based on the exact permissions needed.
   4. Session Management: Use session or token-based management to persist
      user identity and permissions, and ensure that permissions are
      checked against current session data on each request.
   5. Audit Logs: Record and review access attempts, especially for
      sensitive resources, to detect potential unauthorized access or
      misuse of roles and permissions.

References:

    * OWASP Access Control Cheat Sheet
      <https://cheatsheetseries.owasp.org/cheatsheets/Authorization_Cheat_Sheet.html>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1015 - Active Directory Configuration,Application Security,NIST 800-53 v5,PM-10 Authorization Process
Kubernetes Cluster,C-KUBERNETES-CLUSTER-CNT-01,Client certificate authentication should not be used for users,"CIS Benchmark Recommendation id: 3.1.1
Profile Applicability: Level 1 - Master Node
Description: Kubernetes provides the option to use client certificates for 
user authentication. However, as there is no way to revoke these 
certificates when a user leaves an organization or loses their credential, 
they are not suitable for this purpose. It is not possible to fully disable 
client certificate use within a cluster as it is used for component to 
component authentication.
Rationale: With any authentication mechanism, the ability to revoke 
credentials if they are compromised or no longer required is a key control. 
Kubernetes client certificate authentication does not allow for this due to 
a lack of support for certificate revocation.
Impact: External mechanisms for authentication generally require additional 
software to be deployed.
Audit: Review user access to the cluster and ensure that users are not 
making use of Kubernetes client certificate authentication.
Remediation: Alternative mechanisms provided by Kubernetes such as the use 
of OIDC should be implemented in place of client certificates.
Default Value: Client certificate authentication is enabled by default.
Additional Information: The lack of certificate revocation was flagged up 
as a high-risk issue in the recent Kubernetes security audit. Without this 
feature, client certificate authentication is not suitable for end users.
References:
N/A",Created by Rules Engine,Recommended,Not tested,Medium,N/A,High,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1018 - User Account Management,Application Security,NIST 800-53 v5,IA-5 AUTHENTICATOR MANAGEMENT
